Time (s),Raw Pressure (mmHg),Low-Pass Filtered (Amplitude),BPM (at peak time)
0.137,0.00,0.0000,
0.210,0.00,0.0000,
0.221,0.00,0.0000,
0.231,0.00,0.0000,
0.241,0.00,0.0000,
0.250,0.00,0.0000,
0.261,0.00,0.0000,
0.271,0.00,0.0000,
0.281,0.00,0.0000,
0.291,0.00,0.0000,
0.301,0.00,0.0000,
0.311,0.00,0.0000,
0.321,0.00,0.0000,
0.331,0.00,0.0000,
0.341,0.00,0.0000,
0.351,0.00,0.0000,
0.361,0.00,0.0000,
0.371,0.00,0.0000,
0.381,0.00,0.0000,
0.391,0.00,0.0000,
0.401,0.00,0.0000,
0.411,0.00,0.0000,
0.421,0.00,0.0000,
0.431,0.00,0.0000,
0.442,0.00,0.0000,
0.451,0.00,0.0000,
0.461,0.00,0.0000,
0.471,0.00,0.0000,
0.481,0.00,0.0000,
0.491,0.00,0.0000,
0.501,0.00,0.0000,
0.511,0.00,0.0000,
0.521,0.00,0.0000,
0.531,0.00,0.0000,
0.540,0.00,0.0000,
0.551,0.00,0.0000,
0.561,0.00,0.0000,
0.571,0.00,0.0000,
0.581,0.00,0.0000,
0.590,0.00,0.0000,
0.601,0.00,0.0000,
0.611,0.00,0.0000,
0.621,0.00,0.0000,
0.631,0.00,0.0000,
0.640,0.00,0.0000,
0.651,0.00,0.0000,
0.661,0.00,0.0000,
0.670,0.00,0.0000,
0.680,0.00,0.0000,
0.690,0.00,0.0000,
0.700,0.00,0.0000,
0.711,0.00,0.0000,
0.721,0.00,0.0000,
0.732,0.00,0.0000,
0.744,0.00,0.0000,
0.756,0.00,0.0000,
0.767,0.00,0.0000,
0.779,0.00,0.0000,
0.791,0.00,0.0000,
0.802,0.00,0.0000,
0.815,0.00,0.0000,
0.826,0.00,0.0000,
0.837,0.00,0.0000,
0.849,0.00,0.0000,
0.861,0.00,0.0000,
0.871,0.00,0.0000,
0.881,0.00,0.0000,
0.891,0.00,0.0000,
0.901,0.00,0.0000,
0.911,0.00,0.0000,
0.921,0.00,0.0000,
0.931,0.00,0.0000,
0.941,0.00,0.0000,
0.951,0.00,0.0000,
0.961,0.00,0.0000,
0.971,0.00,0.0000,
0.981,0.00,0.0000,
0.991,0.00,0.0000,
1.001,0.00,0.0000,
1.011,0.31,0.0000,
1.028,0.80,0.0002,
1.065,1.41,0.0009,
1.078,2.59,0.0033,
1.090,2.98,0.0092,
1.104,3.27,0.0212,
1.134,4.11,0.0428,
1.148,4.22,0.0774,
1.161,4.94,0.1285,
1.173,5.06,0.1989,
1.195,6.09,0.2907,
1.206,6.02,0.4051,
1.215,6.23,0.5425,
1.225,6.88,0.7021,
1.250,7.48,0.8820,
1.263,7.83,1.0795,
1.275,8.05,1.2912,
1.287,8.42,1.5132,
1.299,8.73,1.7411,
1.310,9.50,1.9704,
1.322,9.52,2.1964,
1.334,9.74,2.4144,
1.348,10.40,2.6201,
1.371,10.98,2.8096,
1.381,11.52,2.9793,
1.392,11.82,3.1265,
1.404,12.10,3.2496,
1.415,12.40,3.3472,
1.426,12.70,3.4187,
1.437,13.08,3.4641,
1.448,13.41,3.4834,
1.460,13.61,3.4771,
1.470,14.14,3.4461,
1.480,14.23,3.3914,
1.495,14.67,3.3143,
1.508,14.99,3.2163,
1.517,15.52,3.0990,
1.530,15.97,2.9643,
1.543,16.49,2.8144,
1.556,16.56,2.6516,
1.570,17.23,2.4786,
1.583,17.48,2.2979,
1.596,17.80,2.1120,
1.610,18.39,1.9232,
1.623,18.94,1.7337,
1.635,18.56,1.5456,
1.646,19.57,1.3604,
1.658,19.53,1.1794,
1.663,19.99,1.0035,
1.672,20.30,0.8333,
1.681,20.31,0.6689,
